AYDINLATMA,MESKEN,SANAYI,TARIMSAL_SULAMA,TICARETHANE,TUKETIM_GENEL_TOPLAM,TUKETIM_PAYI(%),BIYOKUTLE_LISANSSIZ,GUNES_LISANSSIZ,HIDROLIK_LISANSSIZ,RUZGAR_LISANSSIZ,LISANSSIZ_GENEL_TOPLAM,URETIM_LISANSLI,LISANSLI_ORAN,NUFUS,GSYH,ENLEM,BOYLAM,KUZEYDOĞU_SINIR_ENLEM,KUZEYDOĞU_SINIR_BOYLAM,GUNEYBATI_SINIR_ENLEM,GUNEYBATI_SINIR_BOYLAM,ALAN,TARIH,ILLER,BOLGE,YEAR
2869.4,15843.71,40340.99,8589.9,16165.51,83809.52,0.41,0,10501.12,0,0,10501.12,20775.83,0.08,269926,345848325.9,37.726909,30.288876,37.76375,30.336662,37.691433,30.191757,7175,2018-09-01,BURDUR,AKDENIZ BOLGESI,2018
10936.71,166216.34,597482.78,12068.87,193790.02,980494.72,4.74,0,5736.39,1015.95,1015.95,8350.33,912350.2,3.73,2994521,345848325.9,40.18257,29.06687,40.297194,29.211237,40.162997,28.85963,10813,2018-09-01,BURSA,MARMARA BOLGESI,2018
3596.79,31317.72,160832.57,3933.57,43656.4,243337.05,1.18,0,1089.7,0,0,2324.48,2270583.75,9.27,540662,345848325.9,40.155312,26.41416,40.199462,26.457106,40.088086,26.378026,9817,2018-09-01,CANAKKALE,MARMARA BOLGESI,2018
2003.59,9137.21,17396.39,337.62,7651.81,36526.61,0.18,0,7339.14,0,0,7339.14,1395.31,0.01,216362,345848325.9,40.6,33.6166667,40.655159,33.684853,40.557709,33.596571,7542,2018-09-01,CANKIRI,IC ANADOLU BOLGESI,2018
3117.95,27045.73,22452.43,2381.86,23037.4,78035.37,0.38,0,11888.66,0,0,11888.66,41511.33,0.17,536483,345848325.9,40.5505556,34.9555556,40.609317,35.006438,40.495214,34.887634,12428,2018-09-01,CORUM,KARADENIZ BOLGESI,2018
6984.07,63086.67,163189.1,9450.19,72641.25,315351.28,1.52,0,22972.8,0,0,22972.8,554145.75,2.26,1027782,345848325.9,37.77652,29.08639,37.847366,29.188915,37.716171,28.981373,12134,2018-09-01,DENIZLI,EGE BOLGESI,2018
4636.31,74901.46,51139.78,37147.97,74400.03,242225.55,1.17,0,4616.55,0,0,4616.55,479682.98,1.96,1732396,345848325.9,37.91441,40.230629,37.976174,40.245803,37.879624,40.106159,15101,2018-09-01,DIYARBAKIR,GUNEYDOGU ANADOLU BOLGESI,2018
2362.67,23172.2,43004.81,69.62,20196.99,88806.28,0.43,0,41.19,0,0,41.19,10024.11,0.04,387844,345848325.9,40.843849,31.15654,40.891762,31.195807,40.824717,31.106662,2492,2018-09-01,DUZCE,KARADENIZ BOLGESI,2018
2618.1,24667.37,30044.21,14612.35,31552.24,103494.27,0.5,0,350.4,0,0,454.72,44971.38,0.18,411528,345848325.9,41.6666667,26.5666667,41.697939,26.603093,41.649935,26.514059,6145,2018-09-01,EDIRNE,MARMARA BOLGESI,2018
3113.63,26580.5,30781.79,9102.95,41649.5,111228.36,0.54,0,24842.78,0,0,24842.78,588189.94,2.4,595638,345848325.9,38.680969,39.226398,38.713568,39.277314,38.630564,39.133405,9383,2018-09-01,ELAZIG,DOGU ANADOLU BOLGESI,2018
2984.94,12629.82,14014.23,1520.2,12770.08,43919.27,0.21,0,7100.36,0,0,7100.36,47850.65,0.2,236034,345848325.9,39.75,39.5,39.769164,39.531743,39.729884,39.460253,11815,2018-09-01,ERZINCAN,DOGU ANADOLU BOLGESI,2018
9342.18,34206.09,6194.32,792.18,32712,83246.76,0.4,0,9552.85,0,0,9552.85,54168,0.22,767848,345848325.9,39.9043189,41.2678853,39.954533,41.303594,39.866715,41.177093,25006,2018-09-01,ERZURUM,DOGU ANADOLU BOLGESI,2018
3973.97,44049.9,137850.3,29617.81,47043.17,262535.15,1.27,3341.98,25468.97,0,0,28810.95,39769.94,0.16,871187,345848325.9,39.784302,30.51922,39.816793,30.66769,39.724752,30.414084,13960,2018-09-01,ESKISEHIR,IC ANADOLU BOLGESI,2018
7245.92,96367.94,402064.05,22332.49,95228,623238.4,3.01,0,22011,0,0,22011,60967.48,0.25,2028563,345848325.9,37.06622,37.38332,37.113722,37.466958,37.005947,37.303709,6803,2018-09-01,GAZIANTEP,GUNEYDOGU ANADOLU BOLGESI,2018
5131.9,27045.08,6062.57,53.4,18688.57,56981.51,0.28,0,0,0,0,0,86363.09,0.35,453912,345848325.9,40.912811,38.38953,40.927995,38.450044,40.877876,38.309018,6972,2018-09-01,GIRESUN,KARADENIZ BOLGESI,2018
1494.32,5863.56,21440.55,55.22,5003.33,33856.99,0.16,0,186.57,0,0,186.57,95542.08,0.39,162748,345848325.9,40.4602778,39.4813889,40.471359,39.520641,40.430201,39.446914,6668,2018-09-01,GUMUSHANE,KARADENIZ BOLGESI,2018
992.69,7675.16,356.17,6.36,8770.74,17801.12,0.09,0,0,0,0,0,3430.39,0.01,286470,345848325.9,37.5833333,43.7333333,37.601656,43.762257,37.551549,43.69809,7095,2018-09-01,HAKKARI,DOGU ANADOLU BOLGESI,2018
8504.6,104527.99,182587.81,44294.95,84659.61,424574.96,2.05,0,2558.61,0,0,2579.97,1141284.02,4.66,1609856,345848325.9,36.4018488,36.3498097,37.014921,36.697535,35.812692,35.779375,5524,2018-09-01,HATAY,AKDENIZ BOLGESI,2018
1066.16,8116.98,422.77,115.26,8231.52,17952.69,0.09,0,0,0,0,0,2705.56,0.01,197456,345848325.9,39.9166667,44.0333333,39.950163,44.092825,39.884109,43.980729,3664,2018-09-01,IGDIR,DOGU ANADOLU BOLGESI,2018
2857.25,25551.21,24575.7,8868.63,34989.54,96842.32,0.47,0,18161.49,0,0,18161.49,17614.36,0.07,441412,345848325.9,37.7666667,30.55,37.830719,30.609197,37.73988,30.503673,8946,2018-09-01,ISPARTA,AKDENIZ BOLGESI,2018
36548.46,972359.74,747874.35,564.54,1424516.24,3181863.33,15.39,0.32,170.01,0,0,645.61,554925.42,2.27,15067724,345848325.9,41.00527,28.97696,41.320786,29.456456,40.80275,27.971307,5461,2018-09-01,ISTANBUL,MARMARA BOLGESI,2018
20307.83,388958.5,555472.33,65172.89,411085.53,1440997.08,6.97,582.52,27750.12,0,0,29138.42,1767939.97,7.22,4320519,345848325.9,38.41885,27.12872,38.506773,27.304415,38.343157,27.017192,11891,2018-09-01,IZMIR,EGE BOLGESI,2018
5177.92,46131.74,212500.98,12817.19,58523.94,335151.75,1.62,0,30637.66,0,0,30637.66,704313.96,2.88,1144851,345848325.9,37.5833333,36.9333333,37.605261,36.997678,37.530309,36.829703,14520,2018-09-01,KAHRAMANMARAS,AKDENIZ BOLGESI,2018
2062.99,11479.06,21476.89,130.22,11797.53,46946.68,0.23,0,1384.77,0,0,1384.77,43421.4,0.18,248014,345848325.9,41.2,32.6333333,41.238129,32.675518,41.163014,32.592582,4142,2018-09-01,KARABUK,KARADENIZ BOLGESI,2018
1836.79,11819.63,24332.45,9961.34,16801.03,64751.24,0.31,460.96,11315.14,0,0,11776.1,61632.93,0.25,251913,345848325.9,37.17593,33.228748,37.229373,33.334244,37.148257,33.166003,8678,2018-09-01,KARAMAN,IC ANADOLU BOLGESI,2018
1210.85,10279.64,6311.19,24.34,10581.98,28408,0.14,0,496.39,0,0,496.39,6089.94,0.02,288878,345848325.9,40.59267,43.077831,40.624843,43.1339,40.577484,43.056432,10193,2018-09-01,KARS,DOGU ANADOLU BOLGESI,2018
4022.43,18582.59,38189.24,440.1,18031.8,79266.17,0.38,33.68,453.49,0,0,487.16,3116.13,0.01,383373,345848325.9,41.38871,33.78273,41.436059,33.814989,41.350668,33.752901,13064,2018-09-01,KASTAMONU,KARADENIZ BOLGESI,2018
8659.08,74344.08,128728.79,25547.16,69642.09,306921.21,1.48,0,57473.42,0,0,57473.42,78650.93,0.32,1389680,345848325.9,38.7333333,35.4833333,38.818797,35.627675,38.622002,35.304324,16970,2018-09-01,KAYSERI,IC ANADOLU BOLGESI,2018
864.64,7504.79,3563.61,3534.47,7255.66,22723.17,0.11,0,2051.17,0,0,2051.17,0,0,142541,345848325.9,36.718399,37.12122,36.747819,37.159541,36.702673,37.085183,1412,2018-09-01,KILIS,GUNEYDOGU ANADOLU BOLGESI,2018
1962.64,13876.72,17604.05,727.12,12887.98,47058.51,0.23,0,6393.94,0,0,6393.94,578963.67,2.36,286602,345848325.9,39.846821,33.515251,39.872843,33.597968,39.813802,33.468289,4791,2018-09-01,KIRIKKALE,IC ANADOLU BOLGESI,2018
2697.8,20563.8,131007.99,940.11,30905.42,186115.12,0.9,0,65.42,0,0,65.42,610886.6,2.49,360860,345848325.9,41.7333333,27.2166667,41.760054,27.24222,41.710615,27.182843,6459,2018-09-01,KIRKLARELI,MARMARA BOLGESI,2018
2189.7,12600.38,7228.57,2547.93,11857.78,36424.35,0.18,125.52,7915.34,0,0,8040.87,50982.85,0.21,241868,345848325.9,39.15,34.1666667,39.203939,34.217743,39.081293,34.125532,6584,2018-09-01,KIRSEHIR,IC ANADOLU BOLGESI,2018
7754.56,111313.61,686060.96,642.82,140789.49,946561.43,4.58,286,525.1,735.53,735.53,1546.62,545592.4,2.23,1906391,345848325.9,40.8532704,29.8815203,41.20976,30.359684,40.532782,29.333462,3397,2018-09-01,KOCAELI,MARMARA BOLGESI,2018
16178.28,110332.62,165699.55,91734.53,147626.1,531571.07,2.57,0,87434.72,0,0,87434.72,19594.43,0.08,2205609,345848325.9,37.8666667,32.4833333,38.05063,32.680116,37.719031,32.338737,40838,2018-09-01,KONYA,IC ANADOLU BOLGESI,2018
4226.66,25658.14,77111.67,1261.68,24756.91,133015.07,0.64,784.25,16346.42,0,0,17130.67,522455.55,2.13,577941,345848325.9,39.4166667,29.9833333,39.442718,30.066503,39.379473,29.919199,11634,2018-09-01,KUTAHYA,EGE BOLGESI,2018
4178.49,36793.72,54762.83,20528.72,39466.96,155730.73,0.75,1204.55,13706.44,0,0,14910.99,4852.46,0.02,797036,345848325.9,38.35519,38.30946,38.397559,38.453244,38.305123,38.232622,12259,2018-09-01,MALATYA,DOGU ANADOLU BOLGESI,2018
6457.44,87110.12,181617.18,39633.45,104297.39,419115.58,2.03,184.01,29124.54,0,0,29308.55,828524.88,3.38,1429643,345848325.9,38.619099,27.428921,38.642289,27.487976,38.602376,27.326086,13339,2018-09-01,MANISA,EGE BOLGESI,2018
3277.7,36852.87,35730.03,102848.36,33276.2,211985.15,1.03,0,199.58,0,0,199.58,798.05,0,829195,345848325.9,37.3122361,40.735112,37.330554,40.764486,37.305109,40.716971,8780,2018-09-01,MARDIN,GUNEYDOGU ANADOLU BOLGESI,2018
9669.21,141698.89,109970.72,28005.49,132741.75,422086.05,2.04,4071.07,22809.47,0,0,26880.54,206237.23,0.84,1814468,345848325.9,36.8,34.6333333,36.878272,34.716702,36.699503,34.457655,16010,2018-09-01,MERSIN,AKDENIZ BOLGESI,2018
6553.3,100894.75,57159.16,9956.27,209295.55,383859.03,1.86,0,16150.61,0,0,16150.61,856128.49,3.5,967487,345848325.9,37.2152778,28.3636111,37.22581,28.414498,37.194651,28.341279,12654,2018-09-01,MUGLA,EGE BOLGESI,2018
1571.92,11863.16,12352.57,269.87,10842.44,36899.97,0.18,0,285.28,0,0,285.28,61467.88,0.25,407992,345848325.9,38.7432926,41.5064823,38.783503,41.540625,38.718224,41.472306,8718,2018-09-01,MUS,DOGU ANADOLU BOLGESI,2018
4357.69,16329.71,13226.11,10120.51,21077.37,65111.39,0.31,822.11,22760.93,0,0,23583.04,4243.47,0.02,298339,345848325.9,38.62442,34.723969,38.684107,34.764759,38.589047,34.669752,5485,2018-09-01,NEVSEHIR,IC ANADOLU BOLGESI,2018
3896.68,18508.87,39134.73,16492.32,20219.94,98252.55,0.48,0,17254.51,0,0,17254.51,819.33,0,364707,345848325.9,37.9666667,34.6833333,37.979913,34.691585,37.956992,34.661906,7234,2018-09-01,NIGDE,IC ANADOLU BOLGESI,2018
5758.31,47106.13,33107.73,37.2,29915.14,115924.51,0.56,381.14,0,0,0,381.14,25228.38,0.1,771932,345848325.9,40.9833333,37.8833333,41.02034,37.978976,40.931631,37.825992,5914,2018-09-01,ORDU,KARADENIZ BOLGESI,2018
2598.2,29936.67,279095.41,2142.77,25821.11,339594.15,1.64,0,9194.83,0,0,9194.83,174866.4,0.71,534415,345848325.9,37.06805,36.261589,37.104061,36.287941,37.04694,36.208034,3320,2018-09-01,OSMANIYE,AKDENIZ BOLGESI,2018
4458.08,21492.26,32407.84,0,19318.82,77677,0.38,0,0,589.26,589.26,589.26,44258.35,0.18,348608,345848325.9,41.02005,40.523449,41.046492,40.586802,41.010782,40.478578,3835,2018-09-01,RIZE,KARADENIZ BOLGESI,2018
5090.22,64439.69,178103.48,1140.88,70573.95,319348.22,1.54,0,15.36,0,0,15.36,1599143.5,6.53,1010700,345848325.9,40.7568793,30.378138,40.825518,30.439832,40.686199,30.322138,4824,2018-09-01,SAKARYA,MARMARA BOLGESI,2018
7887.74,77619.86,121169.63,6016.76,65825.73,278519.71,1.35,0,2449.5,7.52,7.52,3588.99,666001.23,2.72,1335716,345848325.9,41.292782,36.33128,41.344134,36.381205,41.235002,36.249519,9725,2018-09-01,SAMSUN,KARADENIZ BOLGESI,2018
5186.1,108543.78,51918.84,463272.97,117786.77,746708.46,3.61,0,37621.96,0,0,37621.96,431711.38,1.76,2035809,345848325.9,37.15,38.8,37.189639,38.840876,37.098274,38.767868,19242,2018-09-01,SANLIURFA,GUNEYDOGU ANADOLU BOLGESI,2018
1625.22,13848.65,14256.64,-382,10750.03,40098.53,0.19,0,867.86,0,0,867.86,31352.83,0.13,331670,345848325.9,37.94429,41.93288,37.95594,41.963658,37.909671,41.872547,5717,2018-09-01,SIIRT,GUNEYDOGU ANADOLU BOLGESI,2018
1967.54,14644.46,7822.62,418.27,9031.91,33884.8,0.16,0,0.18,0,0,0.18,30445.7,0.12,219733,345848325.9,42.0264222,35.1550745,42.032135,35.194947,42.012675,35.115957,5717,2018-09-01,SINOP,KARADENIZ BOLGESI,2018
1611.25,17830.75,1560.83,1337.08,29893.11,52233.02,0.25,0,0,0,0,0,197894.6,0.81,524190,345848325.9,37.5163889,42.4611111,37.533572,42.471127,37.500093,42.444631,7078,2018-09-01,SIRNAK,DOGU ANADOLU BOLGESI,2018
3889.46,27679.02,49114.98,8546.39,26906.75,116136.6,0.56,0,12994.21,0,0,12994.21,296813.77,1.21,646608,345848325.9,39.747662,37.017879,39.783669,37.061673,39.699024,36.919858,28164,2018-09-01,SIVAS,IC ANADOLU BOLGESI,2018
3786.11,57183.76,435167.48,1577.7,67579.64,565294.7,2.73,0,423.54,0,0,478.6,283730.43,1.16,1029927,345848325.9,40.9833333,27.5166667,40.996723,27.600252,40.937704,27.468993,6190,2018-09-01,TEKIRDAG,MARMARA BOLGESI,2018
3319.02,27844.07,20481.01,1161.57,21434.04,74239.71,0.36,688.59,1719.76,0,0,2744.85,139845.05,0.57,612646,345848325.9,40.3166667,36.55,40.358932,36.593219,40.267868,36.469662,10042,2018-09-01,TOKAT,KARADENIZ BOLGESI,2018
8373.35,53440.4,21342.38,90.12,47348.64,130594.89,0.63,0,0,0,0,0,38922.17,0.16,807903,345848325.9,41,39.7333333,41.01237,39.82051,40.955736,39.652407,4628,2018-09-01,TRABZON,KARADENIZ BOLGESI,2018
838.37,3981.65,841.39,235.66,4911.63,10808.71,0.05,0,196.4,0,0,196.4,12104.15,0.05,88198,345848325.9,39.1079868,39.5401672,39.113477,39.55185,39.094534,39.530015,7582,2018-09-01,TUNCELI,DOGU ANADOLU BOLGESI,2018
2447.42,19077.88,93311.56,4277.28,19898.94,139013.09,0.67,0,12754.3,0,0,12754.3,10737.8,0.04,367514,345848325.9,38.682301,29.40819,38.71588,29.469838,38.630679,29.355936,5555,2018-09-01,USAK,EGE BOLGESI,2018
4356.53,33975.1,4221.83,454.54,41187.09,84195.09,0.41,0,139.42,0,0,139.42,8202.87,0.03,1123784,345848325.9,38.4941667,43.38,38.580314,43.455356,38.42188,43.269524,20921,2018-09-01,VAN,DOGU ANADOLU BOLGESI,2018
1483.32,18744.91,13657.56,587.6,18235.03,52708.42,0.25,695.01,0,0,0,695.01,52955.09,0.22,262234,345848325.9,40.65,29.2666667,40.66806,29.316536,40.634138,29.210233,798,2018-09-01,YALOVA,MARMARA BOLGESI,2018
3001.89,19713.06,16360.29,20804.45,19751.34,79631.01,0.39,0,10811.45,0,0,10811.45,800.53,0,424981,345848325.9,39.82,34.8044444,39.838423,34.858236,39.798968,34.771094,13690,2018-09-01,YOZGAT,IC ANADOLU BOLGESI,2018
6381.82,29772.66,32032.84,59.41,23999.65,92246.38,0.45,877.52,0,0,0,877.52,1957790.93,7.99,599698,345848325.9,41.456409,31.798731,41.480784,31.874425,41.425296,31.757052,3342,2018-09-01,ZONGULDAK,KARADENIZ BOLGESI,2018
10052.25,125127.84,257359.33,12248.5,126692.66,531480.58,2.83,74.02,12827.44,0,0,12901.45,1087821.68,4.71,2220125,342659920,37,35.3213333,37.072004,35.461995,36.935523,35.174706,13844,2018-10-01,ADANA,AKDENIZ BOLGESI,2018
2784.86,23447.91,37636.4,3898.33,25676.85,93444.35,0.5,0,10785.85,0,0,10785.85,25002.96,0.11,624513,342659920,37.7641667,38.2761667,37.825667,38.335465,37.717086,38.188188,7337,2018-10-01,ADIYAMAN,GUNEYDOGU ANADOLU BOLGESI,2018
4959.21,27277.07,61581.9,7930.58,38471.58,140220.35,0.75,0,32131.28,0,0,32131.28,48878.89,0.21,725568,342659920,38.76376,30.54034,38.802105,30.611167,38.714289,30.44232,14016,2018-10-01,AFYONKARAHISAR,EGE BOLGESI,2018
2310.85,16269.66,6773.64,69.52,13565.16,38988.83,0.21,0,0,0,0,0,0,0,539657,342659920,39.7216667,43.0566667,39.748605,43.085241,39.688144,43.001778,11099,2018-10-01,AGRI,DOGU ANADOLU BOLGESI,2018
2542.86,16035.1,22557.62,12175.31,19048.51,72359.4,0.38,219.92,12638.66,0,0,12858.58,3849.4,0.02,412172,342659920,38.36869,34.03698,38.446724,34.088698,38.297012,33.932515,7659,2018-10-01,AKSARAY,IC ANADOLU BOLGESI,2018
2404.19,15399.47,13836.31,821.19,14618.93,47080.09,0.25,0,2887.94,0,136.15,3024.09,39051.39,0.17,337508,342659920,40.65,35.8333333,40.672834,35.856321,40.636911,35.789091,5628,2018-10-01,AMASYA,KARADENIZ BOLGESI,2018
23581.17,319771.94,360313.72,11703.37,450864.48,1166234.68,6.2,466.48,36984.32,290.62,0,37741.41,877069.01,3.8,5503985,342659920,39.92077,32.85411,40.100981,33.024866,39.722821,32.499097,25632,2018-10-01,ANKARA,IC ANADOLU BOLGESI,2018
17111.27,191684.28,89859.19,20341.84,406594.49,725591.06,3.86,0,17908.3,0,0,17908.3,53120.47,0.23,2426356,342659920,36.88414,30.70563,36.975178,30.840953,36.785866,30.516095,20177,2018-10-01,ANTALYA,AKDENIZ BOLGESI,2018
1041.22,3745.2,161.5,0,6193.55,11141.47,0.06,0,148.08,0,0,148.08,15085.33,0.07,98907,342659920,41.110481,42.702171,41.121467,42.717129,41.09891,42.686418,4934,2018-10-01,ARDAHAN,DOGU ANADOLU BOLGESI,2018
2915.99,10978.62,11486.7,8.92,9299.38,34689.61,0.18,0,0,0,0,0,138367.25,0.6,174010,342659920,41.1833333,41.8166667,41.207078,41.854799,41.155415,41.777361,7393,2018-10-01,ARTVIN,KARADENIZ BOLGESI,2018
7595.07,62003.56,54964.51,3659.91,73092.47,201315.51,1.07,2750.14,17191.42,0,0,19941.56,456004.88,1.97,1097746,342659920,37.8444,27.8458,37.870997,27.885355,37.819573,27.790522,8116,2018-10-01,AYDIN,EGE BOLGESI,2018
9661.33,60311.32,99153.09,1544.82,74371.28,245041.85,1.3,0,7813.46,0,4850.49,12663.96,1043162.36,4.52,1226575,342659920,39.648369,27.88261,39.693666,27.95241,39.612411,27.838313,14583,2018-10-01,BALIKESIR,MARMARA BOLGESI,2018
2073.52,10810.96,17259.89,83.34,8329.16,38556.86,0.21,0,5.73,0,0,5.73,1378.995,0.01,198999,342659920,41.6344444,32.3375,41.656542,32.37105,41.613513,32.297457,2330,2018-10-01,BARTIN,KARADENIZ BOLGESI,2018
2482.95,21646.38,23211.47,-1967.37,21695.64,67069.07,0.36,0,1631.42,0,0,1631.42,2111.88,0.01,599103,342659920,37.881168,41.13509,37.947274,41.17603,37.85657,41.080591,4477,2018-10-01,BATMAN,GUNEYDOGU ANADOLU BOLGESI,2018
1040.3,3452.95,655.49,9.1,3750.32,8908.15,0.05,0,1735.96,0,0,1735.96,4109.87,0.02,82274,342659920,40.255169,40.22488,40.272636,40.238261,40.242881,40.208762,3746,2018-10-01,BAYBURT,KARADENIZ BOLGESI,2018
1654.3,8641.31,131768.24,389.84,10339.27,152792.95,0.81,0,5948.5,0,0.01,5948.51,8651.3,0.04,223448,342659920,40.150131,29.983061,40.197617,30.013592,40.106243,29.956657,4179,2018-10-01,BILECIK,MARMARA BOLGESI,2018
1068.61,9854.02,5834.94,121.21,9095.93,25974.7,0.14,0,424.85,0,0,424.85,53530.95,0.23,281205,342659920,38.885349,40.498291,38.897963,40.525929,38.872987,40.477258,8003,2018-10-01,BINGOL,DOGU ANADOLU BOLGESI,2018
2074.2,10014.79,3610.79,2276.16,11212.86,29188.81,0.16,0,1173.13,0,0,1173.13,3013.46,0.01,349396,342659920,38.4,42.1166667,38.453638,42.148879,38.385312,42.09384,8294,2018-10-01,BITLIS,DOGU ANADOLU BOLGESI,2018
4121.71,12961.09,38484.51,97.21,26402.33,82066.86,0.44,0,430.24,0,0,430.24,192597.02,0.83,311810,342659920,40.739479,31.611561,40.758004,31.658418,40.716802,31.573324,8313,2018-10-01,BOLU,KARADENIZ BOLGESI,2018
2451.66,15479.11,41647.95,3952.07,14454.5,77985.29,0.41,0,9590.49,0,0,9590.49,13678.44,0.06,269926,342659920,37.726909,30.288876,37.76375,30.336662,37.691433,30.191757,7175,2018-10-01,BURDUR,AKDENIZ BOLGESI,2018
12726.99,134603.6,603323.38,3890.06,179179.22,933723.24,4.97,0,4404.19,1123.47,1778.75,7306.41,947759.53,4.1,2994521,342659920,40.18257,29.06687,40.297194,29.211237,40.162997,28.85963,10813,2018-10-01,BURSA,MARMARA BOLGESI,2018
4128.42,25227.8,180880.33,1491.98,38042.95,249771.48,1.33,0,920.04,0,1197.62,2117.67,2491446.4,10.79,540662,342659920,40.155312,26.41416,40.199462,26.457106,40.088086,26.378026,9817,2018-10-01,CANAKKALE,MARMARA BOLGESI,2018
1863.04,10828.75,17780.07,218.17,7734.15,38424.18,0.2,0,6406.81,0,0,6406.81,1829.01,0.01,216362,342659920,40.6,33.6166667,40.655159,33.684853,40.557709,33.596571,7542,2018-10-01,CANKIRI,IC ANADOLU BOLGESI,2018
3677.7,23136.17,21472.67,1099.28,22395.03,71780.84,0.38,0,9425.52,0,0,9425.52,11896.59,0.05,536483,342659920,40.5505556,34.9555556,40.609317,35.006438,40.495214,34.887634,12428,2018-10-01,CORUM,KARADENIZ BOLGESI,2018
7300.9,51036.91,208752.75,4576.34,23139.37,294806.28,1.57,0,20536.03,0,0,20536.03,544408.24,2.36,1027782,342659920,37.77652,29.08639,37.847366,29.188915,37.716171,28.981373,12134,2018-10-01,DENIZLI,EGE BOLGESI,2018
4590.96,55670.75,60475.13,24514.17,62002.26,207253.27,1.1,0,3468.9,0,0,3468.9,229780.76,0.99,1732396,342659920,37.91441,40.230629,37.976174,40.245803,37.879624,40.106159,15101,2018-10-01,DIYARBAKIR,GUNEYDOGU ANADOLU BOLGESI,2018
2662.78,13635.58,43511.22,47.46,16088.5,75945.53,0.4,0,21.07,0,0,21.07,11547.41,0.05,387844,342659920,40.843849,31.15654,40.891762,31.195807,40.824717,31.106662,2492,2018-10-01,DUZCE,KARADENIZ BOLGESI,2018
2815.93,20884.07,23172.63,3666.98,28511.77,79051.39,0.42,0,267.79,0,108.33,376.12,53671.02,0.23,411528,342659920,41.6666667,26.5666667,41.697939,26.603093,41.649935,26.514059,6145,2018-10-01,EDIRNE,MARMARA BOLGESI,2018
3538.32,23327,37274.43,3924.61,34975.49,103039.85,0.55,0,18959.21,0,0,18959.21,280282.69,1.21,595638,342659920,38.680969,39.226398,38.713568,39.277314,38.630564,39.133405,9383,2018-10-01,ELAZIG,DOGU ANADOLU BOLGESI,2018
2202.97,10321.3,17750.99,467.91,12697.18,43440.35,0.23,0,5620.14,0,0,5620.14,50095.74,0.22,236034,342659920,39.75,39.5,39.769164,39.531743,39.729884,39.460253,11815,2018-10-01,ERZINCAN,DOGU ANADOLU BOLGESI,2018
6979.35,31022.22,6967.06,339.58,32128.67,77436.88,0.41,0,7882.13,0,0,7882.13,42464.43,0.18,767848,342659920,39.9043189,41.2678853,39.954533,41.303594,39.866715,41.177093,25006,2018-10-01,ERZURUM,DOGU ANADOLU BOLGESI,2018
3867.41,40302.54,132068.12,12025.53,46244.1,234507.71,1.25,3826.47,21999.57,0,0,25826.03,42485.14,0.18,871187,342659920,39.784302,30.51922,39.816793,30.66769,39.724752,30.414084,13960,2018-10-01,ESKISEHIR,IC ANADOLU BOLGESI,2018
7042.7,92139.13,416933.99,8552.47,85827.07,610495.36,3.25,0,16829.54,0,0,16829.54,44503.32,0.19,2028563,342659920,37.06622,37.38332,37.113722,37.466958,37.005947,37.303709,6803,2018-10-01,GAZIANTEP,GUNEYDOGU ANADOLU BOLGESI,2018
5809.15,25984.64,6754.68,38.22,18067.31,56654,0.3,0,0,0,0,0,67121.61,0.29,453912,342659920,40.912811,38.38953,40.927995,38.450044,40.877876,38.309018,6972,2018-10-01,GIRESUN,KARADENIZ BOLGESI,2018
1689.41,6709.88,20849.49,104.25,5328.49,34681.52,0.18,0,163.33,0,0,163.33,8902.81,0.04,162748,342659920,40.4602778,39.4813889,40.471359,39.520641,40.430201,39.446914,6668,2018-10-01,GUMUSHANE,KARADENIZ BOLGESI,2018
1262.12,10388.4,454.05,4.1,9943.87,22052.55,0.12,0,0,0,0,0,5824.01,0.03,286470,342659920,37.5833333,43.7333333,37.601656,43.762257,37.551549,43.69809,7095,2018-10-01,HAKKARI,DOGU ANADOLU BOLGESI,2018
8520.91,89076.1,185428.03,13521.46,77163.43,373709.94,1.99,0,1910.64,0,6.55,1917.19,1350742.89,5.85,1609856,342659920,36.4018488,36.3498097,37.014921,36.697535,35.812692,35.779375,5524,2018-10-01,HATAY,AKDENIZ BOLGESI,2018
1210.3,6457.71,804.2,48.21,7246.53,15766.95,0.08,0,0,0,0,0,2853.43,0.01,197456,342659920,39.9166667,44.0333333,39.950163,44.092825,39.884109,43.980729,3664,2018-10-01,IGDIR,DOGU ANADOLU BOLGESI,2018
3841.14,25445.59,25657.69,4906.83,36573.71,96424.96,0.51,0,15619.82,0,0,15619.82,17321.45,0.07,441412,342659920,37.7666667,30.55,37.830719,30.609197,37.73988,30.503673,8946,2018-10-01,ISPARTA,AKDENIZ BOLGESI,2018
69303.64,901110.53,896817.54,470.29,1408913.47,3276615.47,17.43,0.92,129.32,0,488.14,618.39,670969.99,2.9,15067724,342659920,41.00527,28.97696,41.320786,29.456456,40.80275,27.971307,5461,2018-10-01,ISTANBUL,MARMARA BOLGESI,2018
21435.28,266133.15,552602.16,28532.01,317316.42,1186019.03,6.31,0,24155.44,0,733.19,24888.64,1715907.47,7.43,4320519,342659920,38.41885,27.12872,38.506773,27.304415,38.343157,27.017192,11891,2018-10-01,IZMIR,EGE BOLGESI,2018
